site,lat,lon,detections,days_detected,mean_frp
21.63_82.11,21.63088864864865,82.11226189189189,37,37,0.8243243243243243
21.67_82.08,21.672614363277393,82.08138620927936,1013,789,1.5009674234945707
21.67_82.09,21.673715,82.0851625,4,4,1.6175
21.67_84.04,21.673375833333335,84.040974375,96,90,1.1839583333333332
21.68_82.08,21.67541482142857,82.08086625,56,52,1.3992857142857142
21.68_82.09,21.67537,82.0862,1,1,8.04
21.68_84.03,21.67877888888889,84.03422972222222,36,30,2.1983333333333333
21.68_84.04,21.679486057101553,84.03928252620166,2767,1169,2.1695627032887606
21.68_84.05,21.6833,84.04625,1,1,4.6
21.68_85.44,21.68479,85.436755,2,2,0.715
21.69_72.6,21.6932348,72.6030266,50,42,4.7032
21.69_72.61,21.6931156097561,72.6062643902439,41,36,3.1936585365853656
21.71_84.04,21.71411975609756,84.04127219512195,41,41,0.7585365853658537
21.72_84.04,21.715372222222225,84.04097888888889,9,9,0.6544444444444444
21.73_82.21,21.730862302839117,82.21376731861199,317,299,1.314763406940063
21.73_82.22,21.73102375,82.21575217105264,152,144,1.1811184210526315
21.73_83.84,21.734104347826086,83.84325391304347,23,21,3.8404347826086958
21.73_83.98,21.733340892857143,83.98090526785714,112,104,1.3292857142857142
21.73_83.99,21.731659491525424,83.98677288135593,59,57,1.1249152542372882
21.74_83.82,21.743407692307695,83.82069,26,22,1.5857692307692308
21.74_83.84,21.73924806818182,83.84130056818182,88,72,1.808409090909091
21.74_83.85,21.73706,83.84693,1,1,1.09
21.74_83.98,21.73546,83.9803506060606,33,32,1.0303030303030303
21.75_83.82,21.749314090909092,83.81827681818181,22,17,1.945
21.75_83.84,21.75236240601504,83.84117471177944,399,350,1.4468421052631577
21.75_84.02,21.75386687898089,84.02335097664545,471,413,1.9877070063694269
21.75_84.03,21.75392346368715,84.02581290502793,179,173,2.022122905027933
21.76_83.82,21.76494,83.81892,1,1,0.6
21.76_83.84,21.759066837387966,83.84249481434058,1562,785,1.9972343149807938
21.76_83.85,21.760204326923077,83.84652214743589,312,270,1.7216666666666665
21.76_84.01,21.76445,84.01474999999999,2,2,3.32
21.76_84.02,21.760546546275396,84.02139819413092,2658,1085,2.337994732881866
21.76_84.03,21.7584804,84.02586422222222,450,375,2.106177777777778
21.76_85.58,21.7642475,85.57937,20,20,0.6775
21.77_83.82,21.770971489361703,83.82239723404255,47,39,2.6291489361702127
21.77_83.83,21.77347783018868,83.8286733018868,106,85,2.258679245283019
21.77_83.84,21.77453375,83.83624625,8,8,1.16
21.77_84.01,21.767486666666667,84.01479499999999,6,6,2.638333333333333
21.77_84.02,21.76811615655853,84.01994118829337,2836,1136,2.089234837799718
21.77_84.03,21.7668995,84.02603404999999,200,190,1.86785
21.77_85.58,21.765499285714288,85.57976857142856,14,14,0.7864285714285714
21.78_83.82,21.77577666666667,83.82415,3,3,1.2566666666666666
21.78_83.83,21.77806727668845,83.83131167755991,459,288,1.9155773420479303
21.78_83.84,21.779743781512604,83.83658159663865,119,99,1.7742857142857142
21.79_72.64,21.79405,72.6445,2,2,1.1099999999999999
21.79_72.65,21.793648684210524,72.64780236842105,38,37,2.8063157894736843
21.79_83.88,21.793668490566034,83.88409396226415,53,51,1.5241509433962264
21.79_83.89,21.79108362745098,83.8867443137255,102,86,1.3719607843137254
21.79_83.99,21.79415453488372,83.98921081395349,86,85,1.03046511627907
21.7_72.6,21.695961666666665,72.60335125,24,22,5.411666666666666
21.7_72.61,21.696068571428572,72.60707857142857,21,15,5.556190476190476
21.7_84.03,21.69815880952381,84.03203023809523,42,40,0.6747619047619048
21.7_84.04,21.6959,84.03584,1,1,3.22
21.81_83.88,21.805452857142857,83.88400714285714,7,7,1.3771428571428572
21.81_83.89,21.805521,83.886823,10,10,1.578
21.82_83.89,21.82081857142857,83.89371523809524,21,19,1.510952380952381
21.82_83.9,21.82040692307692,83.89616576923078,26,25,1.7557692307692307
21.82_83.99,21.81845714285714,83.99399967032967,91,85,1.0603296703296703
21.82_84.0,21.8205064,83.9963098,100,84,1.0325
21.85_84.93,21.847400000000004,84.92607333333333,3,3,0.5266666666666667
21.86_83.96,21.85842888888889,83.96465888888889,9,9,1.6855555555555555
21.86_83.97,21.85904175531915,83.96683574468085,188,174,1.2762765957446809
21.87_83.49,21.87468693877551,83.49411755102041,49,49,1.0808163265306123
21.87_83.5,21.874588839285714,83.49629955357143,112,111,1.092857142857143
21.88_83.49,21.876334980392155,83.49422729411765,255,247,1.2526274509803923
21.88_83.5,21.876608167053362,83.49627218097447,431,407,1.172320185614849
21.88_83.54,21.878590000000003,83.54491,2,2,0.425
21.88_83.55,21.878510366197183,83.55280808450703,710,589,1.254830985915493
21.88_83.56,21.878418031809144,83.55602952286281,503,462,1.1832405566600397
21.89_82.05,21.8876535,82.05300183333334,60,59,0.6685
21.89_83.55,21.88665307692308,83.55191461538462,13,13,0.8853846153846153
21.8_72.64,21.7954,72.64471,1,1,1.71
21.8_72.65,21.795807826086957,72.64777826086956,23,20,2.6447826086956523
