cluster,lat,lon,n_cells,detections,max_days,mean_frp,extent_km,cluster_days
330,24.764323446685783,74.60634807428647,4,791,572,1.4559310482795411,0.9,651
331,24.821258283963765,73.0944803093463,2,750,547,1.328461230214386,1.0,660
332,24.925623414697046,84.15453192504758,6,184,91,4.2413104338664285,2.7,151
333,24.934385183850463,74.63446324166846,4,412,298,1.0845603228470875,0.8,389
334,24.962095705128206,74.12480205128205,2,19,13,0.829551282051282,0.4,19
335,25.301561803571428,71.75696766071428,4,84,49,1.6044880952380953,2.6,64
336,25.310872403225808,83.01442525806452,2,72,61,0.890225806451613,0.6,70
337,25.41545642857143,86.02562299512986,4,23,10,1.8223214285714286,0.9,16
338,25.43703,86.06841826666667,1,75,61,2.946266666666667,0.7,61
339,25.515609752668308,90.9055777093596,4,85,22,1.266840106732348,1.4,36
340,25.542138295454546,91.23520996212122,2,35,23,0.6866287878787879,0.6,33
341,25.671774444444445,76.18919666666666,1,18,17,0.5316666666666667,0.3,17
342,25.906806666666668,71.56875000000001,1,3,3,0.4833333333333334,0.1,3
343,26.058992857142858,93.89320928571429,1,14,14,0.5978571428571428,0.5,14
344,26.06477660337553,93.929313185654,2,94,76,0.5987004219409282,0.7,90
345,26.08523938095238,93.95204333333334,2,31,21,0.45735714285714285,0.5,30
346,26.257805879545458,74.09539333863637,2,113,82,0.9144545454545454,0.7,106
347,26.269922849730335,74.18930716049383,3,591,405,1.0262162922066302,1.4,411
348,26.297277695099815,74.12536553344569,2,191,132,0.9930859476276899,0.8,185
349,26.522780933977458,90.53374210681697,3,264,162,2.0850241545893717,1.4,193
350,26.60506196071879,73.68461908690718,4,158,59,0.9120795301277482,0.6,155
351,26.644079030247823,79.47960227141107,6,1509,744,4.424142269680236,1.8,767
352,26.76009407706093,83.20016758602151,3,956,754,1.3987840501792117,1.4,757
353,26.772642,94.506638,1,5,5,0.6439999999999999,0.5,5
354,26.785066368217056,94.67146062790698,2,146,80,0.6954341085271318,0.8,127
355,26.79365,94.68938365853658,1,41,38,0.5741463414634146,0.5,38
356,26.81010075,94.694764625,2,13,6,0.7601249999999999,0.7,10
357,26.875683767808706,73.51535583531708,4,1135,358,1.1042480890798518,1.6,643
358,26.925938741496598,73.46863408163264,2,150,138,0.7885374149659865,0.6,140
