site,lat,lon,cluster,days_detected
21.38_81.66,21.38241400921659,81.65655497695853,120,205
21.38_81.68,21.377431963315217,81.68063223505435,121,1002
21.38_81.69,21.37526,81.68566,121,1
21.39_81.64,21.389523223140497,81.64442388429752,120,115
21.39_81.65,21.389524660766963,81.64685849557522,120,830
21.39_81.66,21.38565,81.6572525,120,4
21.3_81.6,21.298896274509804,81.60467235294117,122,51
21.3_81.61,21.298809784688995,81.60720392344498,122,348
21.3_81.62,21.29748727272727,81.61582363636363,122,11
21.43_72.98,21.43255,72.97690733333334,123,14
21.48_81.77,21.484601463414634,81.76886731707317,124,76
21.49_81.76,21.487265,81.76395500000001,124,2
21.49_81.77,21.48706809656453,81.76892092850511,124,848
21.53_86.83,21.531221641791046,86.83301880597014,125,63
21.54_81.95,21.543278479532162,81.94743245614035,126,159
21.55_81.75,21.5549,81.74908,127,1
21.55_81.95,21.545399200000002,81.94741760000001,126,25
21.56_81.75,21.556933870967743,81.74933580645161,127,29
21.57_82.02,21.5747675,82.02379,128,8
21.58_82.02,21.576815243445694,82.02277561797753,128,256
21.58_82.03,21.57663,82.02511000000001,128,5
21.5_81.78,21.497177241379312,81.78297965517243,129,28
21.63_82.11,21.63088864864865,82.11226189189189,130,37
21.67_82.08,21.672614363277393,82.08138620927936,131,789
21.67_82.09,21.673715,82.0851625,131,4
21.67_84.04,21.673375833333335,84.040974375,132,90
21.68_82.08,21.67541482142857,82.08086625,131,52
21.68_82.09,21.67537,82.0862,131,1
21.68_84.03,21.67877888888889,84.03422972222222,132,30
21.68_84.04,21.679486057101553,84.03928252620166,132,1169
21.68_84.05,21.6833,84.04625,132,1
21.68_85.44,21.68479,85.436755,133,2
21.69_72.6,21.6932348,72.6030266,134,42
21.69_72.61,21.6931156097561,72.6062643902439,134,36
21.71_84.04,21.71411975609756,84.04127219512195,135,41
21.72_84.04,21.715372222222225,84.04097888888889,135,9
21.73_82.21,21.730862302839117,82.21376731861199,136,299
21.73_82.22,21.73102375,82.21575217105264,136,144
21.73_83.84,21.734104347826086,83.84325391304347,137,21
21.73_83.98,21.733340892857143,83.98090526785714,138,104
21.73_83.99,21.731659491525424,83.98677288135593,138,57
21.74_83.82,21.743407692307695,83.82069,139,22
21.74_83.84,21.73924806818182,83.84130056818182,137,72
21.74_83.85,21.73706,83.84693,137,1
21.74_83.98,21.73546,83.9803506060606,138,32
21.75_83.82,21.749314090909092,83.81827681818181,139,17
21.75_83.84,21.75236240601504,83.84117471177944,137,350
21.75_84.02,21.75386687898089,84.02335097664545,140,413
21.75_84.03,21.75392346368715,84.02581290502793,140,173
21.76_83.82,21.76494,83.81892,141,1
21.76_83.84,21.759066837387966,83.84249481434058,137,785
21.76_83.85,21.760204326923077,83.84652214743589,137,270
21.76_84.01,21.76445,84.01474999999999,140,2
21.76_84.02,21.760546546275396,84.02139819413092,140,1085
21.76_84.03,21.7584804,84.02586422222222,140,375
21.76_85.58,21.7642475,85.57937,142,20
21.77_83.82,21.770971489361703,83.82239723404255,141,39
21.77_83.83,21.77347783018868,83.8286733018868,141,85
21.77_83.84,21.77453375,83.83624625,141,8
21.77_84.01,21.767486666666667,84.01479499999999,140,6
21.77_84.02,21.76811615655853,84.01994118829337,140,1136
21.77_84.03,21.7668995,84.02603404999999,140,190
21.77_85.58,21.765499285714288,85.57976857142856,142,14
21.78_83.82,21.77577666666667,83.82415,141,3
21.78_83.83,21.77806727668845,83.83131167755991,141,288
21.78_83.84,21.779743781512604,83.83658159663865,141,99
21.79_72.64,21.79405,72.6445,143,2
21.79_72.65,21.793648684210524,72.64780236842105,143,37
21.79_83.88,21.793668490566034,83.88409396226415,144,51
21.79_83.89,21.79108362745098,83.8867443137255,144,86
21.79_83.99,21.79415453488372,83.98921081395349,145,85
21.7_72.6,21.695961666666665,72.60335125,134,22
21.7_72.61,21.696068571428572,72.60707857142857,134,15
21.7_84.03,21.69815880952381,84.03203023809523,146,40
21.7_84.04,21.6959,84.03584,146,1
21.81_83.88,21.805452857142857,83.88400714285714,144,7
21.81_83.89,21.805521,83.886823,144,10
21.82_83.89,21.82081857142857,83.89371523809524,147,19
21.82_83.9,21.82040692307692,83.89616576923078,147,25
21.82_83.99,21.81845714285714,83.99399967032967,148,85
21.82_84.0,21.8205064,83.9963098,148,84
21.85_84.93,21.847400000000004,84.92607333333333,149,3
21.86_83.96,21.85842888888889,83.96465888888889,150,9
21.86_83.97,21.85904175531915,83.96683574468085,150,174
21.87_83.49,21.87468693877551,83.49411755102041,151,49
21.87_83.5,21.874588839285714,83.49629955357143,151,111
21.88_83.49,21.876334980392155,83.49422729411765,151,247
21.88_83.5,21.876608167053362,83.49627218097447,151,407
21.88_83.54,21.878590000000003,83.54491,152,2
21.88_83.55,21.878510366197183,83.55280808450703,152,589
21.88_83.56,21.878418031809144,83.55602952286281,152,462
21.89_82.05,21.8876535,82.05300183333334,153,59
